Date,Description,Amount,Type
2026-07-01,GOOGLE WORKSPACE,36.00,DEBIT
2026-07-01,GUSTO PAYROLL,3900.00,DEBIT
2026-07-01,PARKING METER,26.13,DEBIT
2026-07-01,SHELL OIL,33.34,DEBIT
2026-07-01,PARKING METER,13.55,DEBIT
2026-07-02,AMAZON MKTPL,37.00,DEBIT
2026-07-02,PARKING METER,14.22,DEBIT
2026-07-02,TARGET,13.36,DEBIT
2026-07-03,1PASSWORD TEAMS,19.95,DEBIT
2026-07-03,FEDEX OFFICE,23.76,DEBIT
2026-07-03,AMAZON MKTPL,7.47,DEBIT
2026-07-03,SHELL OIL,21.04,DEBIT
2026-07-03,FEDEX OFFICE,13.84,DEBIT
2026-07-04,FIGMA PROFESSIONAL,45.00,DEBIT
2026-07-04,AMAZON MKTPL,7.23,DEBIT
2026-07-04,STARBUCKS,24.33,DEBIT
2026-07-04,LYFT,26.31,DEBIT
2026-07-04,PARKING METER,29.06,DEBIT
2026-07-04,LYFT,16.43,DEBIT
2026-07-04,UBER,31.97,DEBIT
2026-07-05,STRIPE PAYOUT,180.00,CREDIT
2026-07-05,STRIPE PAYOUT,240.00,CREDIT
2026-07-05,LINEAR STANDARD,16.00,DEBIT
2026-07-05,UBER,11.40,DEBIT
2026-07-05,UBER,11.40,DEBIT
2026-07-05,LYFT,16.70,DEBIT
2026-07-05,PARKING METER,20.59,DEBIT
2026-07-05,TARGET,33.60,DEBIT
2026-07-05,PARKING METER,5.06,DEBIT
2026-07-05,STAPLES,4.89,DEBIT
2026-07-06,SLACK PRO,33.75,DEBIT
2026-07-06,APPLE.COM/BILL,23.47,DEBIT
2026-07-06,STAPLES,7.87,DEBIT
2026-07-06,AMAZON MKTPL,34.67,DEBIT
2026-07-06,STARBUCKS,5.99,DEBIT
2026-07-06,TARGET,23.52,DEBIT
2026-07-06,UBER,30.79,DEBIT
2026-07-07,STRIPE PAYOUT,150.00,CREDIT
2026-07-07,VERCEL PRO,20.00,DEBIT
2026-07-07,RETAINER PAYMENT GLOBEX,1500.00,CREDIT
2026-07-07,TARGET,33.30,DEBIT
2026-07-07,STAPLES,20.35,DEBIT
2026-07-07,UBER,29.34,DEBIT
2026-07-07,STARBUCKS,9.86,DEBIT
2026-07-07,STAPLES,19.44,DEBIT
2026-07-07,TARGET,25.08,DEBIT
2026-07-07,FEDEX OFFICE,37.00,DEBIT
2026-07-07,SHELL OIL,33.45,DEBIT
2026-07-07,FEDEX OFFICE,24.07,DEBIT
2026-07-07,PARKING METER,33.62,DEBIT
2026-07-07,APPLE.COM/BILL,13.89,DEBIT
2026-07-07,APPLE.COM/BILL,13.37,DEBIT
2026-07-07,APPLE.COM/BILL,23.63,DEBIT
2026-07-07,FEDEX OFFICE,23.43,DEBIT
2026-07-08,ADOBE CREATIVE CLOUD,54.99,DEBIT
2026-07-08,APPLE.COM/BILL,33.33,DEBIT
2026-07-08,STAPLES,8.70,DEBIT
2026-07-08,SHELL OIL,20.85,DEBIT
2026-07-08,TARGET,33.61,DEBIT
2026-07-09,ZOOM PRO,14.99,DEBIT
2026-07-09,BLUE BOTTLE / RESTAURANTS,42.50,DEBIT
2026-07-09,FEDEX OFFICE,10.13,DEBIT
2026-07-09,STARBUCKS,17.34,DEBIT
2026-07-09,LYFT,32.87,DEBIT
